,County,week,0,index,Population,ratio_to_pop
609,Adams,609.0,126.0,0,20576.0,0.0061236391912908245
1219,Asotin,609.0,34.45,1,21874.0,0.0015749291396178113
1829,Benton,609.0,1215.85,2,202355.0,0.006008499913518321
2439,Chelan,609.0,286.7,3,73147.0,0.0039195045593120705
3049,Clallam,609.0,309.55,4,74037.0,0.004181017599308454
3659,Clark,609.0,3189.5,5,462974.0,0.006889155762526621
4269,Columbia,609.0,22.9,6,3683.0,0.006217757263100733
4879,Cowlitz,609.0,458.8,7,93796.0,0.004891466587061282
5489,Douglas,609.0,183.55,8,37659.0,0.004874000902838631
6099,Ferry,609.0,0.0,9,10539.0,0.0
6709,Franklin,609.0,746.7,10,87050.0,0.008577828834003447
7319,Grant,609.0,206.2,12,88511.0,0.002329653941318028
7929,Grays Harbor,609.0,229.25,13,73058.0,0.0031379178187193736
8539,Island,609.0,642.25,14,78485.0,0.008183092310632604
9149,Jefferson,609.0,125.95,15,28832.0,0.0043684100998890125
9759,King,609.0,53561.2,16,2103339.0,0.02546484423100603
10369,Kitsap,609.0,3085.45,17,277406.0,0.01112250636251559
10979,Kittitas,609.0,137.55,18,42551.0,0.003232591478461141
11589,Klickitat,609.0,34.35,19,19704.0,0.0017433008526187576
12199,Lewis,609.0,332.3,20,91211.0,0.003643200929712425
12809,Lincoln,609.0,22.9,21,12147.0,0.0018852391537005021
13419,Mason,609.0,355.5,22,49808.0,0.007137407645358175
14029,Okanogan,609.0,114.6,23,37548.0,0.0030520933205496962
14639,Pacific,609.0,45.8,24,20246.0,0.0022621752444927394
15249,Pend Oreille,609.0,11.45,25,14085.0,0.0008129215477458288
15859,Pierce,609.0,11843.85,26,804298.0,0.01472569868382117
16469,San Juan,609.0,149.0,27,36289.0,0.004105927416021384
17079,Skagit,609.0,676.3,28,134493.0,0.005028514495178187
17689,Skamania,609.0,0.0,29,7793.0,0.0
18299,Snohomish,609.0,12104.65,30,733926.0,0.01649301155702346
18909,Spokane,609.0,2408.4,31,490779.0,0.004907300434615174
19519,Stevens,609.0,45.8,32,28542.0,0.0016046527923761474
20129,Thurston,609.0,2364.0,33,250449.0,0.009439047470742546
20739,Wahkiakum,609.0,0.0,34,3860.0,0.0
21349,Walla Walla,609.0,160.6,35,59266.0,0.0027098167583437384
21959,Whatcom,609.0,1135.85,36,176564.0,0.006433078090664008
22569,Whitman,609.0,80.2,37,43858.0,0.0018286287564412422
23179,Yakima,609.0,745.2,38,228767.0,0.003257462833363204
