,county,total_reg_avg,week_to_cm_avg
0,King,263,234
1,Snohomish,47,246
2,Kitsap,14,247
3,Pierce,32,248
4,Whatcom,9,262
5,Clark,22,265
6,Thurston,16,268
7,Clallam,2,274
8,Spokane,9,328
9,Skagit,5,357
10,Island,4,361
11,Jefferson,3,363
12,Mason,3,371
13,Franklin,2,372
14,Chelan,3,373
15,Grant,1,395
16,Whitman,2,396
17,Cowlitz,2,406
18,Yakima,3,407
19,Pacific,1,409
20,San Juan,2,409
21,Benton,5,409
22,Lewis,2,418
23,Wahkiakum,1,442
24,Walla Walla,1,479
28,Kittitas,2,485
25,Adams,1,488
26,Asotin,1,524
27,Columbia,1,588
